merchant_name,expense,category,mcc,amount,date
Lyft,Transportation,Bus Lines,4591,19.98,2023-04-15
Aliexpress,Electronics,Computer Software Stores,5733,908.56,2023-05-04
Walmart,Groceries,Markets,,69.18,2023-04-26
Yellow Cab,Transportation,Bus Lines,,6.41,2023-04-17
Hilo,Groceries,Supermarkets,,93.22,2023-05-07
Nike,Clothes,Apparel,,178.57,2023-05-10
Tasty's,Food,Bars,5812,57.0,2023-03-17
ABC Apartments,Rent,Housing,,300,2023-03-24
XYZ Electricity,Utilities,Utilities,,95.56,2023-04-25
City Park,Entertainment,Tourist Attractions,7832,78.86,2023-05-10
Amazon,Health,Pharmaceuticals,,352.13,2023-03-24
Puma,Clothes,Apparel,,92.7,2023-03-16
McDonalds,Food,Fast Food Restaurants,,72.44,2023-05-04
Uptown Rentals,Rent,Housing,,300,2023-03-17
Target,Electronics,Computer Software Stores,,1955.46,2023-05-15
MNO Gas,Utilities,Utilities,,94.04,2023-04-21
PQR Internet,Utilities,Utilities,,155.74,2023-04-25
XYZ Housing,Rent,Housing,,300,2023-03-07
Carib,Entertainment,Motion Pictures,,117.88,2023-04-17
Aliexpress,Electronics,Mobile Accessories,5725,438.35,2023-05-05
Bed Bath & Beyond,MISC,Miscellaneous,,0,2023-04-30
TGI Fridays,Food,Bars,,64.83,2023-03-02
Walmart,Health,Pharmaceuticals,,274.32,2023-03-26
Puma,Clothes,Clothing & Shoes,,244.8,2023-04-27
Sony,Electronics,Mobile Accessories,,1252.84,2023-04-11
Uniqlo,Clothes,Clothing & Shoes,,220.18,2023-04-17
Lyft,Transportation,Bus Lines,,18.17,2023-04-27
Walmart,MISC,Wholesale Clubs,5814,0,2023-03-21
AMC Theaters,Entertainment,Carnival,7832,45.05,2023-03-06
Six Flags,Entertainment,Carnival,,118.71,2023-04-23
XYZ Housing,Rent,Housing,6513,300,2023-04-21
Uptown Rentals,Rent,Housing,,300,2023-04-20
KFC,Food,Fast Food Restaurants,5814,54.92,2023-04-29
Amazon,Electronics,Electronics,,1458.42,2023-04-10
Sony,Electronics,Gaming,,755.95,2023-05-06
Target,Groceries,Supermarkets,,12.31,2023-04-21
Walmart,MISC,Stationery Goods,,0,2023-05-10
Tobu Zoo,Entertainment,Exhibits,,14.98,2023-04-08
Target,MISC,Variety Stores,,0,2023-03-15
Tobu Zoo,Entertainment,Motion Picture Theaters,,102.59,2023-04-06
Uniqlo,Clothes,Clothing & Shoes,,94.99,2023-05-11
Cabbie,Transportation,Public Transportation,,18.2,2023-03-25
XYZ Electricity,Utilities,Utilities,,50.22,2023-04-16
PQR Internet,Utilities,Utilities,,54.03,2023-04-18
Cabbie,Transportation,Bus Lines,,6.81,2023-05-13
Donquiote,Clothes,Men's Clothing,,228.42,2023-04-08
Yellow Cab,Transportation,Bus Lines,,12.1,2023-03-03
Walmart,Health,Drug Stores,,323.58,2023-03-09
City Bus,Transportation,Taxi Cabs,,15.62,2023-04-26
TGI Fridays,Food,Meals,5812,24.37,2023-03-03
Walmart,Health,Health,,262.23,2023-04-18
XYZ Housing,Rent,Housing,6513,300,2023-04-12
Nike,Clothes,Commercial Footwear,,60.85,2023-05-15
Holiday Inn,MISC,Variety Stores,,0,2023-03-31
Dollar General,Groceries,Convenience Stores,,46.15,2023-03-28
Bed Bath & Beyond,MISC,Department Stores,,0,2023-04-16
CVS,Health,Health,,21.53,2023-04-07
Walmart,Electronics,Mobile Accessories,,936.04,2023-05-13
Carib,Entertainment,Amusement/Theme Parks,,82.14,2023-03-20
CVS,Health,Drug Stores,,371.73,2023-03-26
Home Depot,MISC,Miscellaneous,,0,2023-03-13
KFC,Food,Bars,,85.39,2023-03-27
Costco,MISC,Stationery Goods,,0,2023-03-06
ABC Water,Utilities,Utilities,,101.99,2023-05-06
ABC Water,Utilities,Utilities,,177.43,2023-04-14
Subway,Food,Meals,,44.8,2023-03-18
Museum of History,Entertainment,Motion Pictures,7998,41.91,2023-03-20
Dollar General,Groceries,Miscellaneous Food Stores,,73.73,2023-05-15
Cabbie,Transportation,Taxi Cabs,,17.87,2023-04-16
McDonalds,Food,Restaurant & Dining,5813,87.87,2023-03-15
Aliexpress,MISC,Miscellaneous,6584,0,2023-04-14
Samsung,Electronics,Electronics,,1068.37,2023-03-05
Main Street Condos,Rent,Housing,,300,2023-03-24
Walmart,Health,Health,,308.27,2023-04-23
Amazon,Health,Pharmaceuticals,,127.24,2023-03-19
Nintendo,Electronics,Gaming,,992.61,2023-04-01
Starbucks,Food,Fast Food Restaurants,5813,5.6,2023-03-05
CVS,Health,Pharmaceuticals,,134.74,2023-03-20
Target,MISC,Stationery Goods,,0,2023-03-04
CVS,Health,Drug Stores,,407.83,2023-05-02
Hilo,Groceries,Convenience Stores,,93.36,2023-05-06
Aliexpress,Clothes,Men's Clothing,,192.44,2023-05-07
Walmart,Groceries,Convenience Stores,,21.24,2023-05-14
Walmart,Health,Pharmaceuticals,,389.67,2023-03-18
Home Depot,MISC,Department Stores,6755,0,2023-04-11
Ikea,MISC,Department Stores,6472,0,2023-04-11
Amazon,Health,Pharmaceuticals,,201.37,2023-03-02
Walmart,Health,Drug Stores,,214.0,2023-03-20
Uniqlo,Clothes,Men's Clothing,,129.25,2023-05-01
Museum of History,Entertainment,Theaters,,11.7,2023-05-01
XYZ Electricity,Utilities,Utilities,,137.51,2023-03-02
Amazon,Electronics,Gaming,,945.6,2023-03-15
Disney Land,Entertainment,Carnival,,19.02,2023-03-28
City Bus,Transportation,Bus Lines,,8.29,2023-03-17
KFC,Food,Dining,,125.98,2023-04-09
City Park,Entertainment,Theaters,,73.87,2023-03-24
PQR Internet,Utilities,Utilities,,71.87,2023-03-01
Amazon,MISC,Department Stores,,0,2023-04-21
Tasty's,Food,Bars,,17.21,2023-03-30
Uptown Rentals,Rent,Housing,,300,2023-03-29
Family Mart,Groceries,Miscellaneous Food Stores,5422,9.01,2023-03-17
ABC Water,Utilities,Utilities,,150.23,2023-05-01
Six Flags,Entertainment,Motion Picture Theaters,,97.06,2023-05-07
Ikea,MISC,Variety Stores,,0,2023-04-22
Donquiote,Clothes,Clothing & Shoes,,223.88,2023-04-16
Megamart,Groceries,Miscellaneous Food Stores,,135.14,2023-03-12
XYZ Electricity,Utilities,Utilities,,50.04,2023-05-06
Home Depot,MISC,Variety Stores,,0,2023-03-25
Dollar General,Groceries,Convenience Stores,,75.8,2023-03-20
Family Mart,Groceries,Specialty Food Markets,,19.21,2023-04-14
Aliexpress,MISC,Stationery Goods,,0,2023-04-26
Target,Groceries,Convenience Stores,,15.96,2023-05-12
Target,MISC,Department Stores,,0,2023-04-01
Gyomu Supermarket,Groceries,Miscellaneous Food Stores,,139.53,2023-03-24
JUTC,Transportation,Public Transportation,,10.9,2023-04-30
Bed Bath & Beyond,MISC,Wholesale Clubs,6094,0,2023-03-19
ABC Apartments,Rent,Housing,,300,2023-04-14
Aliexpress,Clothes,Accessories,,26.86,2023-03-20
Yellow Cab,Transportation,Taxi Cabs,4560,16.17,2023-03-11
Dollar General,Groceries,Miscellaneous Food Stores,5411,110.22,2023-03-15
Target,Clothes,Clothing & Shoes,,87.43,2023-04-12
CVS,Health,Drug Stores,,267.74,2023-04-17
Walmart,Health,Drug Stores,,162.57,2023-03-09
XYZ Housing,Rent,Housing,,300,2023-04-09
Burger King,Food,Fast Food Restaurants,,90.66,2023-05-01
Main Street Condos,Rent,Housing,,300,2023-04-19
City Bus,Transportation,Bus Lines,,14.32,2023-05-09
MNO Gas,Utilities,Utilities,,94.02,2023-03-04
XYZ Electricity,Utilities,Utilities,,102.37,2023-04-27
XYZ Housing,Rent,Housing,,300,2023-03-07
XYZ Electricity,Utilities,Utilities,4951,57.96,2023-05-01
Uptown Rentals,Rent,Housing,,300,2023-03-20
Sony,Electronics,Electronics,,1105.25,2023-03-08
CVS,Health,Drug Stores,,487.35,2023-04-22
Lyft,Transportation,Local Transit,4370,9.02,2023-03-03
City Park,Entertainment,Motion Picture Theaters,,40.42,2023-03-17
Adidas,Clothes,Clothing & Shoes,,55.17,2023-04-29
Costco,MISC,Miscellaneous,,0,2023-03-04
Nike,Clothes,Clothing & Shoes,,262.67,2023-05-09
Target,Food,Meals,,73.9,2023-03-12
ABC Apartments,Rent,Housing,,300,2023-03-20
Gap,Clothes,Commercial Footwear,5637,112.96,2023-04-13
Hilo,Groceries,Markets,5441,122.97,2023-04-28
XYZ Electricity,Utilities,Utilities,,150.55,2023-04-05
Sega,Electronics,Mobile Accessories,,1476.86,2023-04-05
Yellow Cab,Transportation,Taxi Cabs,,7.95,2023-03-21
Apple Store,Electronics,Computer Software Stores,,1036.39,2023-05-02
Hilo,Groceries,Markets,,7.29,2023-05-04
City Bus,Transportation,Local Transit,,18.56,2023-03-16
Amazon,Health,Drug Stores,,491.89,2023-05-11
Yellow Cab,Transportation,Bus Lines,4455,11.29,2023-05-15
McDonalds,Food,Dining,,40.98,2023-03-02
Tobu,Groceries,Supermarkets,5462,22.0,2023-04-03
Uptown Rentals,Rent,Housing,,300,2023-03-06
Yellow Cab,Transportation,Taxi Cabs,,15.75,2023-03-13
ABC Apartments,Rent,Housing,,300,2023-04-23
MNO Gas,Utilities,Utilities,,95.18,2023-04-21
Seven Eleven,Groceries,Convenience Stores,,135.09,2023-04-22
Carib,Entertainment,Theaters,,118.71,2023-04-28
Regal Cinemas,Entertainment,Amusement/Theme Parks,,26.48,2023-04-16
Tobu,Groceries,Convenience Stores,,10.79,2023-03-19
Tasty's,Food,Meals,,120.52,2023-04-04
Target,Electronics,Computer Software Stores,,683.39,2023-05-02
XYZ Housing,Rent,Housing,,300,2023-05-15
Walmart,Health,Health,,123.05,2023-03-30
Aliexpress,MISC,Miscellaneous,,0,2023-04-22
Walmart,Health,Drug Stores,,32.54,2023-03-14
ABC Water,Utilities,Utilities,,60.85,2023-04-03
ABC Water,Utilities,Utilities,,182.41,2023-05-05
Target,Clothes,Apparel,,79.56,2023-03-08
Burger King,Food,Fast Food Restaurants,,102.98,2023-03-12
Aliexpress,Clothes,Clothing & Shoes,,197.09,2023-04-16
Six Flags,Entertainment,Tourist Attractions,,105.21,2023-05-15
Main Street Condos,Rent,Housing,,300,2023-04-13
Amazon,MISC,Department Stores,,0,2023-04-13
Walmart,Health,Pharmaceuticals,5912,354.8,2023-03-09
Home Depot,MISC,Department Stores,,0,2023-04-08
Amazon,Health,Pharmaceuticals,,384.47,2023-03-04
CVS,Health,Pharmaceuticals,,429.05,2023-04-09
PQR Internet,Utilities,Utilities,,191.64,2023-03-30
Uber,Transportation,Local Transit,,10.71,2023-04-29
GU,Clothes,Accessories,,37.19,2023-03-24
Walmart,Health,Pharmaceuticals,,31.91,2023-05-07
XYZ Housing,Rent,Housing,,300,2023-03-12
Panasonic,Electronics,Mobile Accessories,,922.0,2023-03-01
ABC Apartments,Rent,Housing,,300,2023-05-10
Tasty's,Food,Restaurant & Dining,5813,124.29,2023-05-01
Aliexpress,MISC,Variety Stores,5852,0,2023-04-27
Samsung,Electronics,Gaming,,1120.22,2023-03-05
Yellow Cab,Transportation,Bus Lines,,10.41,2023-05-12
Target,MISC,Stationery Goods,6373,0,2023-04-23
XYZ Housing,Rent,Housing,,300,2023-03-18
Tobu Aquarium,Entertainment,Fair,,26.97,2023-04-25
City Park,Entertainment,Carnival,,88.21,2023-04-10
Target,MISC,Variety Stores,,0,2023-03-09
Panasonic,Electronics,Mobile Accessories,,1891.86,2023-04-09
Aliexpress,MISC,Stationery Goods,6287,0,2023-03-29
Walmart,Clothes,Clothing & Shoes,,125.24,2023-04-14
McDonalds,Food,Bars,,79.35,2023-03-16
Gap,Clothes,Accessories,5624,138.08,2023-04-26
Mo's Motel,MISC,Wholesale Clubs,,0,2023-03-15
Disney Land,Entertainment,Tourist Attractions,,69.6,2023-03-21
Carib,Entertainment,Theaters,,85.62,2023-05-02
Target,Food,Fast Food Restaurants,,39.25,2023-03-24
Walmart,Health,Drug Stores,,445.36,2023-04-26
Target,MISC,Variety Stores,,0,2023-05-15
Gap,Clothes,Apparel,,187.7,2023-03-01
Family Mart,Groceries,Miscellaneous Food Stores,,102.05,2023-04-02
Nintendo,Electronics,Electronics,,768.57,2023-05-01
Best Buy,Electronics,Gaming,,573.6,2023-04-09
Megamart,Groceries,Specialty Food Markets,5422,128.76,2023-03-25
City Bus,Transportation,Local Transit,,8.23,2023-03-08
Lyft,Transportation,Public Transportation,,14.58,2023-04-04
XYZ Electricity,Utilities,Utilities,,60.74,2023-03-01
City Bus,Transportation,Public Transportation,,11.49,2023-03-21
Carib,Entertainment,Exhibits,,39.28,2023-03-16
Dentist,MISC,Department Stores,,0,2023-04-23
Nike,Clothes,Accessories,5676,249.51,2023-05-14
Amazon,Clothes,Apparel,5660,206.36,2023-03-05
ABC Apartments,Rent,Housing,6513,300,2023-03-12
Target,Groceries,Specialty Food Markets,,18.28,2023-03-06
Amazon,Electronics,Gaming,,1380.5,2023-04-09
Uptown Rentals,Rent,Housing,,300,2023-05-14
Target,Food,Restaurant & Dining,,98.73,2023-03-12
Walmart,Food,Fast Food Restaurants,,35.85,2023-04-28
Ikea,MISC,Department Stores,,0,2023-03-23
KFC,Food,Bars,,83.22,2023-04-15
ABC Apartments,Rent,Housing,,300,2023-03-05
ABC Apartments,Rent,Housing,,300,2023-03-04
Target,Food,Bars,5812,35.77,2023-04-29
Tasty's,Food,Meals,5814,46.37,2023-03-27
Target,Electronics,Mobile Accessories,,1375.91,2023-03-01
Target,Food,Restaurant & Dining,,132.43,2023-04-11
ABC Water,Utilities,Utilities,4937,188.19,2023-03-05
Aliexpress,Electronics,Computer Software Stores,,1237.28,2023-04-25
ABC Apartments,Rent,Housing,,300,2023-04-09
Yellow Cab,Transportation,Bus Lines,,10.74,2023-03-03
Nike,Clothes,Accessories,,132.71,2023-04-14
XYZ Electricity,Utilities,Utilities,4933,134.75,2023-05-15
Nike,Clothes,Apparel,,49.37,2023-05-08
Apple Store,Electronics,Mobile Accessories,,210.79,2023-04-02
McDonalds,Food,Restaurant & Dining,,82.5,2023-03-25
XYZ Electricity,Utilities,Utilities,,183.73,2023-04-23
Walmart,Clothes,Apparel,5673,189.88,2023-03-13
Juicy,Food,Bars,,142.79,2023-03-23
Carib,Entertainment,Carnival,,111.8,2023-03-28
Uniqlo,Clothes,Accessories,,153.98,2023-05-11
ABC Water,Utilities,Utilities,,75.0,2023-05-08
Walmart,Clothes,Men's Clothing,,107.71,2023-03-17
Aliexpress,MISC,Wholesale Clubs,,0,2023-03-26
PQR Internet,Utilities,Utilities,,78.35,2023-03-27
Dollar General,Groceries,Miscellaneous Food Stores,,86.45,2023-04-15
Lyft,Transportation,Local Transit,4446,13.82,2023-03-24
Aliexpress,Clothes,Apparel,,28.14,2023-03-27
AMC Theaters,Entertainment,Tourist Attractions,,12.01,2023-03-24
Target,Electronics,Mobile Accessories,,582.88,2023-03-17
Cabbie,Transportation,Taxi Cabs,,8.24,2023-04-27
Megamart,Groceries,Convenience Stores,,13.45,2023-05-03
City Hospital,MISC,Stationery Goods,6235,0,2023-05-04
Nintendo,Electronics,Gaming,,1028.58,2023-05-07
Target,Clothes,Commercial Footwear,,295.37,2023-03-08
Gap,Clothes,Apparel,,139.86,2023-05-10
Target,Clothes,Men's Clothing,,23.7,2023-04-02
XYZ Housing,Rent,Housing,,300,2023-04-25
Sony,Electronics,Mobile Accessories,5728,1992.79,2023-05-10
Costco,MISC,Department Stores,5929,0,2023-03-27
Juicy,Food,Bars,,23.47,2023-04-13
ABC Apartments,Rent,Housing,,300,2023-03-02
Yellow Cab,Transportation,Public Transportation,4591,14.83,2023-04-25
Main Street Condos,Rent,Housing,,300,2023-03-17
MNO Gas,Utilities,Utilities,,138.25,2023-05-15
Target,Groceries,Supermarkets,,121.91,2023-04-27
City Park,Entertainment,Tourist Attractions,,94.04,2023-03-02
CVS,Health,Health,5912,69.09,2023-04-01
Sega,Electronics,Gaming,,691.2,2023-04-27
XYZ Electricity,Utilities,Utilities,,137.8,2023-04-04
Amazon,Electronics,Electronics,,1924.7,2023-04-24
Sony,Electronics,Gaming,,1189.7,2023-03-22
MNO Gas,Utilities,Utilities,,145.32,2023-03-26
Uptown Rentals,Rent,Housing,,300,2023-05-03
XYZ Electricity,Utilities,Utilities,,124.98,2023-04-23
Amazon,Electronics,Mobile Accessories,,83.88,2023-05-06
Carib,Entertainment,Fair,,40.45,2023-03-03
Family Mart,Groceries,Convenience Stores,,101.36,2023-04-26
KFC,Food,Dining,,83.36,2023-05-04
City Bus,Transportation,Bus Lines,,13.3,2023-03-06
Six Flags,Entertainment,Fair,,80.42,2023-05-02
XYZ Electricity,Utilities,Utilities,,81.38,2023-04-25
Cabbie,Transportation,Public Transportation,,9.45,2023-03-22
Museum of History,Entertainment,Exhibits,,62.04,2023-04-13
Puma,Clothes,Clothing & Shoes,,74.4,2023-03-28
Amazon,Health,Health,,226.23,2023-03-24
City Hospital,MISC,Stationery Goods,,0,2023-04-10
Gyomu Supermarket,Groceries,Miscellaneous Food Stores,,74.18,2023-03-08
Walmart,Clothes,Clothing & Shoes,,70.97,2023-03-11
TGI Fridays,Food,Restaurant & Dining,,15.16,2023-05-13
Amazon,Groceries,Supermarkets,,34.41,2023-03-14
MNO Gas,Utilities,Utilities,,194.85,2023-04-14
Megamart,Groceries,Miscellaneous Food Stores,,78.62,2023-03-25
Target,MISC,Wholesale Clubs,,0,2023-04-25
Yellow Cab,Transportation,Public Transportation,4451,8.88,2023-04-19
Amazon,MISC,Wholesale Clubs,,0,2023-03-10
ABC Water,Utilities,Utilities,,80.39,2023-04-10
Tasty's,Food,Meals,,28.45,2023-04-20
Six Flags,Entertainment,Carnival,,89.95,2023-05-11
City Bus,Transportation,Bus Lines,,9.17,2023-04-18
Nintendo,Electronics,Electronics,5722,1783.78,2023-05-11
Aliexpress,Clothes,Accessories,,214.79,2023-03-16
XYZ Electricity,Utilities,Utilities,,56.19,2023-04-07
Walmart,Health,Health,,71.7,2023-05-08
Amazon,Health,Health,,378.82,2023-03-29
Walmart,Health,Pharmaceuticals,,443.37,2023-04-19
Disney Land,Entertainment,Theaters,,46.78,2023-03-05
Sony,Electronics,Mobile Accessories,5734,276.75,2023-05-13
AMC Theaters,Entertainment,Fair,,37.94,2023-03-26
Panasonic,Electronics,Gaming,,1083.25,2023-05-09
MNO Gas,Utilities,Utilities,4837,186.22,2023-04-17
ABC Apartments,Rent,Housing,,300,2023-04-19
Lyft,Transportation,Bus Lines,4020,9.14,2023-05-11
Home Depot,MISC,Miscellaneous,,0,2023-05-05
Uptown Rentals,Rent,Housing,6513,300,2023-03-07
Target,Electronics,Electronics,,1543.4,2023-04-04
GU,Clothes,Commercial Footwear,,52.94,2023-05-09
Tobu Zoo,Entertainment,Motion Picture Theaters,7991,24.88,2023-04-08
Yellow Cab,Transportation,Bus Lines,,13.53,2023-04-29
Museum of History,Entertainment,Theaters,,51.88,2023-04-11
Carib,Entertainment,Tourist Attractions,,66.69,2023-04-28
Uptown Rentals,Rent,Housing,6513,300,2023-05-03
Home Depot,MISC,Department Stores,,0,2023-05-14
Amazon,Health,Health,,363.1,2023-04-25
XYZ Housing,Rent,Housing,,300,2023-04-02
Family Mart,Groceries,Convenience Stores,,68.03,2023-03-16
Zara,Clothes,Men's Clothing,,248.22,2023-04-28
Tobu Zoo,Entertainment,Motion Picture Theaters,7832,62.58,2023-05-07
Tobu,Groceries,Convenience Stores,,35.16,2023-04-20
Museum of History,Entertainment,Tourist Attractions,7998,99.98,2023-03-09
City Park,Entertainment,Theaters,,28.15,2023-04-24
Hilo,Groceries,Convenience Stores,,86.32,2023-03-06
Amazon,Health,Drug Stores,5912,6.57,2023-03-23
Family Mart,Groceries,Convenience Stores,,75.65,2023-04-29
Yellow Cab,Transportation,Local Transit,,8.36,2023-03-18
Tobu Zoo,Entertainment,Fair,,87.41,2023-04-13
MNO Gas,Utilities,Utilities,4820,118.11,2023-03-24
Target,Food,Meals,5813,29.03,2023-04-07
Ikea,MISC,Department Stores,,0,2023-03-26
PQR Internet,Utilities,Utilities,,160.3,2023-04-01
CVS,Health,Pharmaceuticals,,303.9,2023-03-14
MNO Gas,Utilities,Utilities,,121.88,2023-04-16
Hilo,Groceries,Specialty Food Markets,,122.94,2023-03-26
Trader joe's,Groceries,Markets,,144.59,2023-03-20
Tobu Aquarium,Entertainment,Motion Picture Theaters,7832,109.27,2023-05-02
Amazon,Groceries,Markets,,87.34,2023-05-08
City Park,Entertainment,Amusement/Theme Parks,,41.13,2023-03-25
Aliexpress,Clothes,Clothing & Shoes,,56.58,2023-03-22
Panasonic,Electronics,Computer Software Stores,,1394.17,2023-03-07
Burger King,Food,Bars,,140.88,2023-04-20
Museum of History,Entertainment,Carnival,,26.23,2023-04-15
Nintendo,Electronics,Gaming,,1143.23,2023-03-07
ABC Water,Utilities,Utilities,,68.32,2023-05-09
Main Street Condos,Rent,Housing,,300,2023-03-17
Nintendo,Electronics,Computer Software Stores,,353.19,2023-03-12
Target,Electronics,Computer Software Stores,,627.42,2023-04-06
CVS,Health,Health,,83.84,2023-04-19
Target,Groceries,Convenience Stores,,71.2,2023-03-07
Six Flags,Entertainment,Carnival,,21.65,2023-03-29
City Bus,Transportation,Public Transportation,,19.18,2023-05-08
PQR Internet,Utilities,Utilities,,59.11,2023-03-22
Nintendo,Electronics,Electronics,,1314.94,2023-04-04
Target,Clothes,Clothing & Shoes,,231.5,2023-04-08
Regal Cinemas,Entertainment,Fair,,73.7,2023-03-31
Tobu Aquarium,Entertainment,Amusement/Theme Parks,,73.96,2023-04-19
JUTC,Transportation,Public Transportation,4210,18.18,2023-04-28
CVS,Health,Drug Stores,5912,61.11,2023-04-26
Amazon,Groceries,Markets,,110.29,2023-03-02
Uptown Rentals,Rent,Housing,,300,2023-03-01
JUTC,Transportation,Taxi Cabs,,9.68,2023-04-26
Lyft,Transportation,Bus Lines,,16.77,2023-04-24
Tasty's,Food,Restaurant & Dining,5814,72.12,2023-04-24
Office Depot,MISC,Variety Stores,,0,2023-03-23
Starbucks,Food,Bars,,93.73,2023-03-25
MNO Gas,Utilities,Utilities,,160.14,2023-03-01
Main Street Condos,Rent,Housing,,300,2023-03-13
Uber,Transportation,Local Transit,,12.65,2023-04-10
Main Street Condos,Rent,Housing,,300,2023-03-20
Walmart,Clothes,Apparel,,258.14,2023-03-23
Carib,Entertainment,Motion Pictures,,11.22,2023-04-23
Amazon,Health,Drug Stores,,421.85,2023-04-27
ABC Apartments,Rent,Housing,,300,2023-04-01
Yellow Cab,Transportation,Public Transportation,,11.12,2023-04-24
XYZ Electricity,Utilities,Utilities,,146.76,2023-04-10
Gap,Clothes,Commercial Footwear,5689,92.8,2023-04-17
AMC Theaters,Entertainment,Motion Picture Theaters,,66.89,2023-03-04
Sony,Electronics,Computer Software Stores,,1569.14,2023-04-05
Tobu Aquarium,Entertainment,Carnival,7991,73.94,2023-04-18
KFC,Food,Restaurant & Dining,,18.63,2023-03-28
CVS,Health,Health,,83.86,2023-04-09
Best Buy,Electronics,Electronics,,1113.68,2023-05-07
Costco,MISC,Wholesale Clubs,,0,2023-04-13
ABC Water,Utilities,Utilities,4918,116.77,2023-04-01
Amazon,Health,Health,,74.1,2023-03-28
Museum of History,Entertainment,Fair,,104.76,2023-04-01
Home Depot,MISC,Stationery Goods,,0,2023-03-01
Main Street Condos,Rent,Housing,6513,300,2023-04-19
ABC Apartments,Rent,Housing,,300,2023-05-14
Uniqlo,Clothes,Accessories,,282.48,2023-05-15
Mo's Motel,MISC,Stationery Goods,,0,2023-04-18
City Bus,Transportation,Public Transportation,,11.52,2023-04-07
CVS,Health,Pharmaceuticals,,322.61,2023-05-06
Carib,Entertainment,Exhibits,,56.96,2023-04-17
Main Street Condos,Rent,Housing,6513,300,2023-03-15
Home Depot,MISC,Stationery Goods,,0,2023-03-14
Amazon,Electronics,Gaming,5730,64.92,2023-05-02
CVS,Health,Health,5912,11.66,2023-03-17
ABC Water,Utilities,Utilities,,70.41,2023-04-17
Lyft,Transportation,Local Transit,,8.31,2023-04-16
Puma,Clothes,Apparel,,167.41,2023-05-03
Walmart,Clothes,Clothing & Shoes,5641,25.78,2023-03-09
Six Flags,Entertainment,Theaters,,97.07,2023-03-05
Aliexpress,Electronics,Mobile Accessories,5735,787.94,2023-03-07
ABC Water,Utilities,Utilities,,113.8,2023-04-13
Uber,Transportation,Taxi Cabs,,12.15,2023-03-06
Puma,Clothes,Accessories,,296.13,2023-03-26
Best Buy,Electronics,Gaming,,1224.81,2023-05-13
Dollar General,Groceries,Supermarkets,,114.97,2023-05-05
Nike,Clothes,Men's Clothing,,265.54,2023-04-28
Walmart,Health,Health,,22.43,2023-05-13
Tobu Aquarium,Entertainment,Exhibits,7996,106.79,2023-04-13
Sony,Electronics,Computer Software Stores,5730,759.82,2023-03-16
TGI Fridays,Food,Restaurant & Dining,5813,65.55,2023-04-22
City Hospital,MISC,Department Stores,,0,2023-04-24
Target,MISC,Stationery Goods,,0,2023-04-13
Yellow Cab,Transportation,Public Transportation,,5.89,2023-05-12
City Bus,Transportation,Public Transportation,,9.09,2023-04-19
Amazon,Health,Pharmaceuticals,,78.45,2023-04-09
CVS,Health,Pharmaceuticals,,447.09,2023-03-19
XYZ Housing,Rent,Housing,,300,2023-04-07
MNO Gas,Utilities,Utilities,4916,164.8,2023-03-02
Target,MISC,Stationery Goods,,0,2023-03-12
AMC Theaters,Entertainment,Motion Picture Theaters,7991,41.07,2023-04-10
JUTC,Transportation,Local Transit,,15.64,2023-04-16
Dollar General,Groceries,Miscellaneous Food Stores,,101.59,2023-04-23
JUTC,Transportation,Taxi Cabs,,18.55,2023-03-15
Carib,Entertainment,Fair,,28.66,2023-03-24
Apple Store,Electronics,Electronics,,1183.77,2023-04-20
GU,Clothes,Clothing & Shoes,,31.8,2023-03-28
Walmart,Clothes,Commercial Footwear,5604,22.74,2023-04-23
Gyomu Supermarket,Groceries,Markets,,37.04,2023-03-20
Tobu Aquarium,Entertainment,Fair,,17.56,2023-04-24
Burger King,Food,Restaurant & Dining,,127.22,2023-05-14
Tasty's,Food,Meals,,131.22,2023-03-11
Main Street Condos,Rent,Housing,,300,2023-05-11
Nintendo,Electronics,Electronics,,915.9,2023-03-04
Sony,Electronics,Gaming,,343.1,2023-05-03
Samsung,Electronics,Computer Software Stores,,1799.81,2023-03-10
Sony,Electronics,Electronics,5727,412.44,2023-04-16
Trader joe's,Groceries,Markets,5499,7.56,2023-03-20
Starbucks,Food,Fast Food Restaurants,5814,16.44,2023-03-13
Six Flags,Entertainment,Fair,,115.65,2023-05-06
Home Depot,MISC,Stationery Goods,,0,2023-05-14
Yellow Cab,Transportation,Local Transit,,9.89,2023-03-19
Carib,Entertainment,Exhibits,,16.52,2023-05-14
MNO Gas,Utilities,Utilities,,169.86,2023-03-16
Family Mart,Groceries,Supermarkets,5462,34.34,2023-04-22
Tobu,Groceries,Convenience Stores,,135.45,2023-04-04
Mo's Motel,MISC,Miscellaneous,,0,2023-04-08
Walmart,MISC,Variety Stores,,0,2023-05-03
Holiday Inn,MISC,Department Stores,,0,2023-04-23
MNO Gas,Utilities,Utilities,,122.65,2023-04-30
Juicy,Food,Restaurant & Dining,,12.54,2023-03-25
Carib,Entertainment,Theaters,,45.54,2023-03-24
Target,MISC,Stationery Goods,6954,0,2023-03-29
Dentist,MISC,Miscellaneous,,0,2023-04-21
Uptown Rentals,Rent,Housing,,300,2023-03-27
MNO Gas,Utilities,Utilities,,191.15,2023-03-29
Hilo,Groceries,Convenience Stores,,143.99,2023-03-20
Zara,Clothes,Commercial Footwear,,66.22,2023-05-05
Target,Food,Restaurant & Dining,5812,126.56,2023-04-05
Zara,Clothes,Commercial Footwear,,209.19,2023-04-15
